Common,Binomial,rep,Tube num,mg,
Big Bluestem,Andropogon gerardii,1,143,639,
Big Bluestem,Andropogon gerardii,2,155,914,
Big Bluestem,Andropogon gerardii,3,141,517,
Big Bluestem,Andropogon gerardii,4,156,704,
Big Bluestem,Andropogon gerardii,5,152,510,
,Aster hirta,1,066,541,
,Aster hirta,2,064,422,
,Aster hirta,3,067,455,
,Aster hirta,4,059,436,
,Aster hirta,5,070,536,
New England Aster,Aster novae-angliae,1,137,511,
New England Aster,Aster novae-angliae,2,116,745,
New England Aster,Aster novae-angliae,3,115,301,
New England Aster,Aster novae-angliae,4,121,702,
New England Aster,Aster novae-angliae,5,135,473,
Canada Milk Vetch,Astragalus canadensis,1,025,953,
Canada Milk Vetch,Astragalus canadensis,2,020,545,
Canada Milk Vetch,Astragalus canadensis,3,033,685,
Canada Milk Vetch,Astragalus canadensis,4,038,809,
Canada Milk Vetch,Astragalus canadensis,5,008,954,
White Wild Indigo,Baptisia leucantha,1,144,541,
White Wild Indigo,Baptisia leucantha,2,151,706,
White Wild Indigo,Baptisia leucantha,3,145,863,
White Wild Indigo,Baptisia leucantha,4,147,784,
White Wild Indigo,Baptisia leucantha,5,139,554,
,Baptisia spp2,1,005,357,
,Baptisia spp2,2,034,323,
,Baptisia spp2,3,163,467,
,Baptisia spp2,4,042,642,"sample tube has no number, 4 inferred"
,Baptisia spp2,5,010,70,
,Baptisia spp2,6,164,398,"Sample tube is labeled ""1"", may be a duplicate"
,Baptisia spp2,7,,,"Duplicate of 3, not filled."
Copper-Shouldered Oval Sedge,Carex bicknellii,1,073,565,
Copper-Shouldered Oval Sedge,Carex bicknellii,2,071,457,
Copper-Shouldered Oval Sedge,Carex bicknellii,3,079,593,
Copper-Shouldered Oval Sedge,Carex bicknellii,4,084,587,
Copper-Shouldered Oval Sedge,Carex bicknellii,5,078,349,
Prairie Coreopsis,Coreopsis palmata,0,,,No voucher tissue collected
Tall Coreopsis,Coreopsis tripteris,1,096,821,
Tall Coreopsis,Coreopsis tripteris,2,095,781,
Tall Coreopsis,Coreopsis tripteris,3,093,601,
Tall Coreopsis,Coreopsis tripteris,4,098,849,
Tall Coreopsis,Coreopsis tripteris,5,099,841,
Purple Prairie Clover,Dalea purpurea,1,047,716,
Purple Prairie Clover,Dalea purpurea,2,045,532,
Purple Prairie Clover,Dalea purpurea,3,055,458,
Purple Prairie Clover,Dalea purpurea,4,048,764,
Purple Prairie Clover,Dalea purpurea,5,051,357,
Showy Tick Trefoil,Desmodium canadense,1,159,563,
Showy Tick Trefoil,Desmodium canadense,2,153,356,
Showy Tick Trefoil,Desmodium canadense,3,149,920,
Showy Tick Trefoil,Desmodium canadense,4,160,166,
Showy Tick Trefoil,Desmodium canadense,5,158,823,
Pale Purple Coneflower,Echinacea pallida,1,038,631,
Pale Purple Coneflower,Echinacea pallida,2,024,599,
Pale Purple Coneflower,Echinacea pallida,3,035,806,
Pale Purple Coneflower,Echinacea pallida,4,018,805,
Pale Purple Coneflower,Echinacea pallida,5,009,692,
Canada Wild Rye,Elymus canadensis,1,157,441,
Canada Wild Rye,Elymus canadensis,2,150,244,
Canada Wild Rye,Elymus canadensis,3,146,263,
Canada Wild Rye,Elymus canadensis,4,138,594,
Canada Wild Rye,Elymus canadensis,5,142,256,
Sawtooth Sunflower,Helianthus grosseserratus,1,097,698,
Sawtooth Sunflower,Helianthus grosseserratus,2,094,801,
Sawtooth Sunflower,Helianthus grosseserratus,3,106,502,
Sawtooth Sunflower,Helianthus grosseserratus,4,107,405,
Sawtooth Sunflower,Helianthus grosseserratus,5,100,730,
"*not on orig list, handwritten labels",Heliopsis,1,032,652,
"*not on orig list, handwritten labels",Heliopsis,2,030,629,
"*not on orig list, handwritten labels",Heliopsis,3,036,513,
Early Sunflower,Heliopsis helianthoides,1,112,898,
Early Sunflower,Heliopsis helianthoides,2,103,788,
Early Sunflower,Heliopsis helianthoides,3,111,667,
Early Sunflower,Heliopsis helianthoides,4,114,431,
Early Sunflower,Heliopsis helianthoides,5,102,764,
Round Head Bush Clover,Lespedeza capitata,1,043,549,
Round Head Bush Clover,Lespedeza capitata,2,049,405,
Round Head Bush Clover,Lespedeza capitata,3,046,564,
Round Head Bush Clover,Lespedeza capitata,4,069,519,
Round Head Bush Clover,Lespedeza capitata,5,054,310,
Wild Bergamot,Monarda fistulosa,1,022,339,
Wild Bergamot,Monarda fistulosa,2,026,382,
Wild Bergamot,Monarda fistulosa,3,028,231,
Wild Bergamot,Monarda fistulosa,4,001,194,
Wild Bergamot,Monarda fistulosa,5,002,177,
Wild Quinine,Parthenium integrifolium,1,081,865,
Wild Quinine,Parthenium integrifolium,2,072,708,
Wild Quinine,Parthenium integrifolium,3,076,872,
Wild Quinine,Parthenium integrifolium,4,086,818,
Wild Quinine,Parthenium integrifolium,5,087,906,
Foxglove Beardtongue,Penstemon digitalis,1,040,603,
Foxglove Beardtongue,Penstemon digitalis,2,023,,"Did not record weight, but tube is full. Estimate > 600 mg"
Foxglove Beardtongue,Penstemon digitalis,3,019,,"Did not record weight, but tube is full. Estimate > 600 mg"
Foxglove Beardtongue,Penstemon digitalis,4,007,488,
Foxglove Beardtongue,Penstemon digitalis,5,012,650,
Common Mountain Mint,Pycnanthemum virginianum,1,105,831,
Common Mountain Mint,Pycnanthemum virginianum,2,110,386,
Common Mountain Mint,Pycnanthemum virginianum,3,118,534,
Common Mountain Mint,Pycnanthemum virginianum,4,134,643,
Common Mountain Mint,Pycnanthemum virginianum,5,127,327,
Yellow Coneflower,Ratibida pinnata,1,104,565,
Yellow Coneflower,Ratibida pinnata,2,108,726,
Yellow Coneflower,Ratibida pinnata,3,113,,Did not record weight
Yellow Coneflower,Ratibida pinnata,4,109,758,
Yellow Coneflower,Ratibida pinnata,5,101,625,
,Rudbeckia hirta,1,017,248,"All leaf tissue looks very dead, but contains some seeds"
,Rudbeckia hirta,2,029,408,"All leaf tissue looks very dead, but contains some seeds"
,Rudbeckia hirta,3,031,330,"All leaf tissue looks very dead, but contains some seeds"
,Rudbeckia hirta,4,006,327,"All leaf tissue looks very dead, but contains some seeds"
,Rudbeckia hirta,5,004,102,"All leaf tissue looks very dead, but contains some seeds"
Sweet Blackeyed Susan,Rudbeckia subtomentosa,1,161,789,
Sweet Blackeyed Susan,Rudbeckia subtomentosa,2,148,753,
Sweet Blackeyed Susan,Rudbeckia subtomentosa,3,162,609,
Sweet Blackeyed Susan,Rudbeckia subtomentosa,4,154,417,
Sweet Blackeyed Susan,Rudbeckia subtomentosa,5,140,392,
Little Bluestem,Schizachyrium scoparium,1,083,360,
Little Bluestem,Schizachyrium scoparium,2,077,567,
Little Bluestem,Schizachyrium scoparium,3,082,354,
Little Bluestem,Schizachyrium scoparium,4,080,496,
Little Bluestem,Schizachyrium scoparium,5,085,537,
Rosin Weed,Silphium integrifolium,1,058,767,
Rosin Weed,Silphium integrifolium,2,062,740,
Rosin Weed,Silphium integrifolium,3,057,798,
Rosin Weed,Silphium integrifolium,4,063,775,
Rosin Weed,Silphium integrifolium,5,068,826,
Compass Plant,Silphium laciniatum,1,061,801,
Compass Plant,Silphium laciniatum,2,075,,Did not record weight
Compass Plant,Silphium laciniatum,3,074,823,
Compass Plant,Silphium laciniatum,4,065,806,
Compass Plant,Silphium laciniatum,5,060,660,
Cupplant,Silphium perfoliatum,1,091,762,
Cupplant,Silphium perfoliatum,2,092,655,
Cupplant,Silphium perfoliatum,3,089,833,
Cupplant,Silphium perfoliatum,4,088,725,
Cupplant,Silphium perfoliatum,5,090,976,
Cupplant,Silphium perfoliatum,6,,,"Duplicate of 1, did not fill"
Prairie Dock,Silphium terebinthinaceum,1,132,841,
Prairie Dock,Silphium terebinthinaceum,2,124,713,
Prairie Dock,Silphium terebinthinaceum,3,130,799,
Prairie Dock,Silphium terebinthinaceum,4,125,564,
Prairie Dock,Silphium terebinthinaceum,5,131,744,
,Solidago canadensis,1,122,733,
,Solidago canadensis,2,123,199,
,Solidago canadensis,3,129,516,
,Solidago canadensis,4,126,572,"There are two tubes labeled 4, just found this one first."
,Solidago canadensis,5,128,889,"There are two tubes labeled 4, arbitrarily calling this one 5"
Stiff Goldenrod,Solidago rigida,1,133,601,
Stiff Goldenrod,Solidago rigida,2,120,555,
Stiff Goldenrod,Solidago rigida,3,119,867,
Stiff Goldenrod,Solidago rigida,4,117,691,
Stiff Goldenrod,Solidago rigida,5,136,880,
Indian Grass,Sorghastrum nutans,1,044,667,
Indian Grass,Sorghastrum nutans,2,056,,Did not record weight
Indian Grass,Sorghastrum nutans,3,052,509,
Indian Grass,Sorghastrum nutans,4,050,501,
Indian Grass,Sorghastrum nutans,5,053,659,
Dandelion,Taraxacum officinale,1,039,639,
Dandelion,Taraxacum officinale,2,041,,Did not record weight
Dandelion,Taraxacum officinale,3,021,699,
Dandelion,Taraxacum officinale,4,003,719,
Dandelion,Taraxacum officinale,5,011,538,
Culver's Root,Veronicastrum virginicum,1,015,654,
Culver's Root,Veronicastrum virginicum,2,016,797,
Culver's Root,Veronicastrum virginicum,3,027,839,
Culver's Root,Veronicastrum virginicum,4,014,940,
Culver's Root,Veronicastrum virginicum,5,013,806,